time_period,measure,sex,obs_value,last_obs_value,change_obs_value
2021-03-01,part-time,all,4205.80606953,4109.35004805,96.45602148000035
2021-04-01,part-time,all,4142.50934038,4205.80606953,-63.29672914999992
2021-05-01,part-time,all,4161.67091509,4142.50934038,19.161574709999513
2021-06-01,part-time,all,4137.41839193,4161.67091509,-24.252523159999328
2021-07-01,part-time,all,4144.3896779,4137.41839193,6.9712859699993714
2021-08-01,part-time,all,4065.08726768,4144.3896779,-79.30241021999973
2021-09-01,part-time,all,3897.92277228,4065.08726768,-167.16449539999985
2021-10-01,part-time,all,3890.25580296,3897.92277228,-7.666969320000135
2021-11-01,part-time,all,4129.58374954,3890.25580296,239.32794658000012
2021-12-01,part-time,all,4154.08274342,4129.58374954,24.498993879999944
2022-01-01,part-time,all,4188.45601002,4154.08274342,34.373266599999624
2022-02-01,part-time,all,4143.99447786,4188.45601002,-44.46153215999948
2022-03-01,part-time,all,4141.33393956,4143.99447786,-2.660538300000553
2019-01-01,full-time,female,3224.73005099,NA,0
2019-02-01,full-time,female,3243.9154553,3224.73005099,19.18540430999974
2019-03-01,full-time,female,3262.55632164,3243.9154553,18.64086634000023
2019-04-01,full-time,female,3284.12142053,3262.55632164,21.565098889999717
2019-05-01,full-time,female,3246.04188865,3284.12142053,-38.07953187999965
2019-06-01,full-time,female,3269.55525361,3246.04188865,23.513364959999763
2019-07-01,full-time,female,3304.44960032,3269.55525361,34.894346710000264
2019-08-01,full-time,female,3291.15495094,3304.44960032,-13.29464938000001
2019-09-01,full-time,female,3315.46278186,3291.15495094,24.307830920000015
2019-10-01,full-time,female,3317.05981885,3315.46278186,1.5970369899996513
2019-11-01,full-time,female,3315.35722761,3317.05981885,-1.702591239999947
2019-12-01,full-time,female,3343.85879941,3315.35722761,28.501571799999965
2020-01-01,full-time,female,3348.36572784,3343.85879941,4.506928430000244
2020-02-01,full-time,female,3340.90599081,3348.36572784,-7.4597370300002694
2020-03-01,full-time,female,3338.20698286,3340.90599081,-2.699007949999668
2020-04-01,full-time,female,3238.25197347,3338.20698286,-99.95500939000021
2020-05-01,full-time,female,3194.44810145,3238.25197347,-43.803872019999744
2020-06-01,full-time,female,3193.49696316,3194.44810145,-0.9511382900000172
2020-07-01,full-time,female,3214.38227665,3193.49696316,20.885313490000044
2020-08-01,full-time,female,3222.79049119,3214.38227665,8.40821453999979
2020-09-01,full-time,female,3225.12230119,3222.79049119,2.3318100000001323
2020-10-01,full-time,female,3225.2206837,3225.12230119,0.09838250999973752
2020-11-01,full-time,female,3264.83511445,3225.2206837,39.61443075000034
