date,industry,count
1986-05-01,Administrative and Support Services,136.55
1986-05-01,Public Administration and Safety,397.777
1986-05-01,Education and Training,455.361
1986-05-01,Health Care and Social Assistance,582.515
1986-05-01,Arts and Recreation Services,77.371
1986-05-01,Other Services,310.118
1986-08-01,"Agriculture, Forestry and Fishing",421.079
1986-08-01,Mining,98.632
1986-08-01,Manufacturing,1076.585
1986-08-01,"Electricity, Gas, Water and Waste Services",150.394
1986-08-01,Construction,501.968
1986-08-01,Wholesale Trade,356.779
1986-08-01,Retail Trade,755.823
1986-08-01,Accommodation and Food Services,354.521
1986-08-01,"Transport, Postal and Warehousing",432.356
1986-08-01,Information Media and Telecommunications,170.205
1986-08-01,Financial and Insurance Services,305.161
1986-08-01,"Rental, Hiring and Real Estate Services",85.465
1986-08-01,"Professional, Scientific and Technical Services",291.17
1986-08-01,Administrative and Support Services,134.145
1986-08-01,Public Administration and Safety,397.243
1986-08-01,Education and Training,474.711
1986-08-01,Health Care and Social Assistance,566.969
1986-08-01,Arts and Recreation Services,80.467
1986-08-01,Other Services,307.391
1986-11-01,"Agriculture, Forestry and Fishing",420.343
1986-11-01,Mining,100.788
1986-11-01,Manufacturing,1065.701
1986-11-01,"Electricity, Gas, Water and Waste Services",143.973
1986-11-01,Construction,499.119
1986-11-01,Wholesale Trade,369.375
1986-11-01,Retail Trade,764.702
1986-11-01,Accommodation and Food Services,355.636
1986-11-01,"Transport, Postal and Warehousing",433.534
1986-11-01,Information Media and Telecommunications,164.189
1986-11-01,Financial and Insurance Services,303.321
1986-11-01,"Rental, Hiring and Real Estate Services",92.414
1986-11-01,"Professional, Scientific and Technical Services",304.547
1986-11-01,Administrative and Support Services,139.325
1986-11-01,Public Administration and Safety,405.504
1986-11-01,Education and Training,486.275
1986-11-01,Health Care and Social Assistance,579.062
1986-11-01,Arts and Recreation Services,81.343
1986-11-01,Other Services,304.248
1987-02-01,"Agriculture, Forestry and Fishing",420.074
1987-02-01,Mining,105.155
1987-02-01,Manufacturing,1073.529
1987-02-01,"Electricity, Gas, Water and Waste Services",141.103
1987-02-01,Construction,506.14
1987-02-01,Wholesale Trade,371.132
1987-02-01,Retail Trade,762.147
1987-02-01,Accommodation and Food Services,359.594
1987-02-01,"Transport, Postal and Warehousing",417.593
1987-02-01,Information Media and Telecommunications,163.332
1987-02-01,Financial and Insurance Services,304.43
1987-02-01,"Rental, Hiring and Real Estate Services",86.5
1987-02-01,"Professional, Scientific and Technical Services",312.89
1987-02-01,Administrative and Support Services,143.793
1987-02-01,Public Administration and Safety,407.7
1987-02-01,Education and Training,487.655
1987-02-01,Health Care and Social Assistance,593.467
1987-02-01,Arts and Recreation Services,84.569
1987-02-01,Other Services,307.14
1987-05-01,"Agriculture, Forestry and Fishing",410.876
1987-05-01,Mining,105.896
1987-05-01,Manufacturing,1087.052
1987-05-01,"Electricity, Gas, Water and Waste Services",136.443
1987-05-01,Construction,507.217
1987-05-01,Wholesale Trade,370.251
1987-05-01,Retail Trade,749.971
1987-05-01,Accommodation and Food Services,368.67
1987-05-01,"Transport, Postal and Warehousing",418.999
1987-05-01,Information Media and Telecommunications,166.12
1987-05-01,Financial and Insurance Services,312.201
1987-05-01,"Rental, Hiring and Real Estate Services",95.752
1987-05-01,"Professional, Scientific and Technical Services",312.404
1987-05-01,Administrative and Support Services,142.819
1987-05-01,Public Administration and Safety,412.868
1987-05-01,Education and Training,491.957
1987-05-01,Health Care and Social Assistance,591.208
1987-05-01,Arts and Recreation Services,84.87
1987-05-01,Other Services,309.545
1987-08-01,"Agriculture, Forestry and Fishing",411.234
1987-08-01,Mining,101.963
1987-08-01,Manufacturing,1098.836
1987-08-01,"Electricity, Gas, Water and Waste Services",133.162
1987-08-01,Construction,502.218
1987-08-01,Wholesale Trade,377.802
1987-08-01,Retail Trade,773.202
1987-08-01,Accommodation and Food Services,378.102
